gene_id	SRR326279	SRR326280	SRR326281	SRR326282
hsa-let-7a-2-3p	0.00	0.00	0.00	0.00
hsa-let-7a-3p	1.00	0.00	0.00	0.00
hsa-let-7a-5p	269.00	532.00	51.00	118.00
hsa-let-7b-3p	0.00	0.00	0.00	0.00
hsa-let-7b-5p	1078.00	816.00	149.00	349.00
hsa-let-7c	2.00	9.00	0.00	4.00
hsa-let-7d-3p	1.00	0.00	0.00	0.00
hsa-let-7d-5p	32.00	46.00	8.00	13.00
hsa-let-7e-3p	0.00	0.00	0.00	0.00
hsa-let-7e-5p	139.00	206.00	19.00	34.00
hsa-let-7f-1-3p	1.00	0.00	0.00	0.00
hsa-let-7f-2-3p	0.00	0.00	0.00	0.00
hsa-let-7f-5p	1229.00	1999.00	335.00	506.00
hsa-let-7g-3p	0.00	0.00	0.00	0.00
hsa-let-7g-5p	31.00	28.00	8.00	10.00
hsa-let-7i-3p	0.00	0.00	0.00	0.00
hsa-let-7i-5p	108.00	178.00	39.00	67.00
hsa-miR-1	0.00	0.00	0.00	0.00
hsa-miR-100-3p	0.00	0.00	0.00	0.00
hsa-miR-100-5p	0.00	0.00	0.00	0.00
hsa-miR-101-3p	39996.00	66159.00	20335.00	35835.00
hsa-miR-101-5p	4.00	11.00	5.00	10.00
hsa-miR-103a-2-5p	0.00	0.00	0.00	0.00
hsa-miR-103a-3p	67.00	110.00	9.00	24.00
hsa-miR-103b	0.00	0.00	0.00	0.00
hsa-miR-105-3p	0.00	0.00	0.00	0.00
hsa-miR-105-5p	0.00	0.00	0.00	0.00
hsa-miR-106a-3p	0.00	0.00	0.00	0.00
hsa-miR-106a-5p	0.00	0.00	0.00	0.00
hsa-miR-106b-3p	2.00	0.00	1.00	1.00
hsa-miR-106b-5p	33.00	34.00	24.00	16.00
hsa-miR-107	9.00	15.00	1.00	2.00
hsa-miR-10a-3p	0.00	0.00	0.00	0.00
hsa-miR-10a-5p	0.00	1.00	0.00	0.00
hsa-miR-10b-3p	0.00	0.00	0.00	0.00
hsa-miR-10b-5p	0.00	0.00	0.00	0.00
hsa-miR-1178-3p	0.00	0.00	0.00	0.00
hsa-miR-1178-5p	0.00	0.00	0.00	0.00
hsa-miR-1179	0.00	0.00	0.00	0.00
hsa-miR-1180	0.00	0.00	0.00	0.00
hsa-miR-1181	0.00	0.00	0.00	0.00
hsa-miR-1182	0.00	0.00	0.00	0.00
hsa-miR-1183	0.00	0.00	0.00	0.00
hsa-miR-1184	0.00	0.00	0.00	0.00
hsa-miR-1185-1-3p	0.00	0.00	0.00	0.00
hsa-miR-1185-2-3p	0.00	0.00	0.00	0.00
hsa-miR-1185-5p	0.00	0.00	0.00	0.00
hsa-miR-1193	0.00	0.00	0.00	0.00
hsa-miR-1197	0.00	0.00	0.00	0.00
hsa-miR-1200	0.00	0.00	0.00	0.00
hsa-miR-1202	0.00	0.00	0.00	0.00
hsa-miR-1203	0.00	0.00	0.00	0.00
hsa-miR-1204	0.00	0.00	0.00	0.00
hsa-miR-1205	0.00	0.00	0.00	0.00
hsa-miR-1206	0.00	0.00	0.00	0.00
hsa-miR-1207-3p	0.00	0.00	0.00	0.00
hsa-miR-1207-5p	0.00	0.00	0.00	0.00
hsa-miR-1208	0.00	0.00	0.00	0.00
hsa-miR-122-3p	0.00	0.00	0.00	0.00
hsa-miR-1224-3p	0.00	0.00	0.00	0.00
hsa-miR-1224-5p	0.00	0.00	0.00	1.00
hsa-miR-1225-3p	0.00	0.00	0.00	0.00
hsa-miR-1225-5p	0.00	0.00	0.00	0.00
hsa-miR-122-5p	0.00	0.00	0.00	0.00
hsa-miR-1226-3p	0.00	0.00	0.00	0.00
hsa-miR-1226-5p	0.00	0.00	0.00	0.00
hsa-miR-1227-3p	0.00	0.00	0.00	0.00
hsa-miR-1227-5p	0.00	0.00	0.00	0.00
hsa-miR-1228-3p	0.00	0.00	0.00	0.00
hsa-miR-1228-5p	0.00	0.00	0.00	0.00
hsa-miR-1229-3p	0.00	0.00	0.00	0.00
hsa-miR-1229-5p	0.00	0.00	0.00	0.00
hsa-miR-1231	0.00	0.00	0.00	0.00
hsa-miR-1233-1-5p	0.00	0.00	0.00	0.00
hsa-miR-1233-3p	0.00	0.00	0.00	0.00
hsa-miR-1234-3p	0.00	0.00	0.00	0.00
hsa-miR-1234-5p	1.00	0.00	0.00	0.00
hsa-miR-1236-3p	0.00	0.00	0.00	0.00
hsa-miR-1236-5p	0.00	0.00	0.00	0.00
hsa-miR-1237-3p	0.00	0.00	0.00	0.00
hsa-miR-1237-5p	0.00	0.00	0.00	0.00
hsa-miR-1238-3p	0.00	0.00	0.00	0.00
hsa-miR-1238-5p	0.00	0.00	0.00	0.00
hsa-miR-1243	0.00	0.00	0.00	0.00
hsa-miR-124-3p	0.00	0.00	0.00	0.00
hsa-miR-1244	0.00	0.00	0.00	0.00
hsa-miR-1245a	0.00	0.00	0.00	0.00
hsa-miR-1245b-3p	0.00	0.00	0.00	0.00
hsa-miR-1245b-5p	0.00	0.00	0.00	0.00
hsa-miR-124-5p	0.00	0.00	0.00	0.00
hsa-miR-1246	1.00	0.00	3.00	1.00
hsa-miR-1247-3p	0.00	0.00	0.00	0.00
hsa-miR-1247-5p	0.00	0.00	0.00	0.00
hsa-miR-1248	0.00	0.00	0.00	0.00
hsa-miR-1249	0.00	0.00	0.00	0.00
hsa-miR-1250	0.00	0.00	0.00	0.00
hsa-miR-1251	0.00	0.00	0.00	0.00
hsa-miR-1252	0.00	0.00	0.00	0.00
hsa-miR-1253	0.00	0.00	0.00	0.00
hsa-miR-1254	0.00	0.00	0.00	0.00
hsa-miR-1255a	0.00	0.00	0.00	0.00
hsa-miR-1255b-2-3p	0.00	0.00	0.00	0.00
hsa-miR-1255b-5p	0.00	0.00	0.00	0.00
hsa-miR-1256	1.00	1.00	0.00	0.00
hsa-miR-1257	0.00	0.00	0.00	0.00
hsa-miR-1258	0.00	0.00	0.00	0.00
hsa-miR-125a-3p	0.00	0.00	0.00	0.00
hsa-miR-125a-5p	6.00	10.00	3.00	14.00
hsa-miR-125b-1-3p	0.00	0.00	0.00	0.00
hsa-miR-125b-2-3p	42.00	75.00	17.00	42.00
hsa-miR-125b-5p	2.00	0.00	0.00	2.00
hsa-miR-1260a	0.00	0.00	0.00	0.00
hsa-miR-1260b	0.00	0.00	0.00	0.00
hsa-miR-1261	0.00	0.00	0.00	0.00
hsa-miR-1262	0.00	0.00	0.00	0.00
hsa-miR-1263	0.00	0.00	0.00	0.00
hsa-miR-126-3p	0.00	0.00	0.00	1.00
hsa-miR-1264	0.00	0.00	0.00	0.00
hsa-miR-1265	0.00	0.00	0.00	0.00
hsa-miR-126-5p	0.00	0.00	0.00	0.00
hsa-miR-1266	0.00	0.00	0.00	1.00
hsa-miR-1267	0.00	0.00	0.00	0.00
hsa-miR-1268a	115.00	116.00	26.00	134.00
hsa-miR-1268b	115.00	118.00	26.00	134.00
hsa-miR-1269a	0.00	0.00	0.00	0.00
hsa-miR-1269b	0.00	0.00	0.00	0.00
hsa-miR-1270	0.00	0.00	0.00	0.00
hsa-miR-1271-3p	0.00	0.00	0.00	0.00
hsa-miR-1271-5p	0.00	0.00	0.00	0.00
hsa-miR-1272	0.00	0.00	0.00	0.00
hsa-miR-1273a	0.00	0.00	0.00	0.00
hsa-miR-1273c	0.00	0.00	0.00	0.00
hsa-miR-1273d	0.00	0.00	0.00	0.00
hsa-miR-1273e	0.00	0.00	0.00	0.00
hsa-miR-1273f	0.00	0.00	0.00	0.00
hsa-miR-1273g-3p	0.00	0.00	0.00	0.00
hsa-miR-1273g-5p	0.00	0.00	0.00	0.00
hsa-miR-127-3p	0.00	3.00	2.00	0.00
hsa-miR-1275	0.00	0.00	0.00	0.00
hsa-miR-127-5p	0.00	0.00	0.00	0.00
hsa-miR-1276	0.00	0.00	0.00	0.00
hsa-miR-1277-3p	0.00	0.00	0.00	0.00
hsa-miR-1277-5p	0.00	0.00	1.00	1.00
hsa-miR-1278	20.00	22.00	3.00	16.00
hsa-miR-1279	0.00	0.00	0.00	0.00
hsa-miR-128	1.00	0.00	0.00	0.00
hsa-miR-1281	0.00	0.00	0.00	0.00
hsa-miR-1282	0.00	0.00	0.00	0.00
hsa-miR-1283	0.00	0.00	0.00	0.00
hsa-miR-1284	0.00	0.00	0.00	0.00
hsa-miR-1285-3p	5.00	3.00	2.00	2.00
hsa-miR-1285-5p	0.00	0.00	0.00	0.00
hsa-miR-1286	0.00	0.00	0.00	0.00
hsa-miR-1287	0.00	0.00	0.00	0.00
hsa-miR-1288	0.00	0.00	0.00	0.00
hsa-miR-1289	0.00	0.00	0.00	0.00
hsa-miR-1290	0.00	0.00	0.00	1.00
hsa-miR-1291	0.00	0.00	0.00	0.00
hsa-miR-129-1-3p	0.00	0.00	0.00	0.00
hsa-miR-129-2-3p	0.00	0.00	0.00	0.00
hsa-miR-1292-5p	0.00	0.00	0.00	0.00
hsa-miR-1293	1.00	0.00	0.00	0.00
